"","Date","AG","AI","AR","BE","BL","BS","FR","GE","GL","GR","JU","LU","NE","NW","OW","SG","SH","SO","SZ","TG","TI","UR","VD","VS","ZG","ZH","CH"
"1",2020-03-06,"10","0","1","20","9","17","7",15,"0","13","1","2","8","0","0","1","0","1","7","1","37","0",23,"4","5","24",206
"2",2020-03-07,"14","0","1","25","13","22","7",24,"0","15","3","4","11","0","0","1","0","1","7","1","43","0",30,"5","6","28",261
"3",2020-03-08,"14","0","1","31","19","25","8",32,"0","17","3","6","13","0","0","3","0","1","7","1","58","0",40,"5","7","34",325
"4",2020-03-09,"14","0","2","34","20","29","10",33,"0","17","3","5","17","0","0","3","0","1","7","2","67","0",51,"7","7","36",365
"5",2020-03-10,"15","0","2","39","22","39","12",59,"0","18","4","6","27","0","0","7","0","1","7","3","91","0",77,"15","7","45",496
"6",2020-03-11,"17","0","2","41","23","49","16",66,"2","23","5","7","27","3","0","10","1","3","8","4","131","0",108,"18","7","55",626
"7",2020-03-12,"22","0","2","51","29","80","26",80,"2","28","7","8","33","4","0","14","1","7","9","5","170","0",156,"23","7","91",855
"8",2020-03-13,"28","0","5","62","42","111","31",104,"4","39","7","13","37","5","7","19","1","8","10","5","218","2",222,"29","7","124",1140
"9",2020-03-14,"31","2","5","78","48","119","38",196,"5","47","10","19","39","5","8","26","1","10","13","5","262","2",273,"47","9","148",1446
"10",2020-03-15," 40","3"," 4","104"," 57","127"," 44",281," 5"," 60","14","30"," 57"," 7"," 8"," 29"," 1","13","13","10","285"," 1",406," 63","10","213",2155
"11",2020-03-16,"52","3"," 4","131"," 73","144"," 50",373," 5"," 80","19","43","74","10","10","35"," 2","18","15","17","330"," 2",508," 77","11","270",2327
"12",2020-03-17,"67","3"," 6","152"," 93","165"," 56",495," 6","100","23","50","77","12","13","47"," 4","24","21","23","422"," 3",608,"95","13","294",2650
"13",2020-03-18,"101","3","10","193","116","182","67",629,"10","116","25","48","99","18","16","61","6","31","29","32","511","5",796,"129","17","424",3674
"14",2020-03-19,"118","3","16","282","139","222","82",826,"16","145","27","63","132","25","17","85","8","39","35","36","638","7",1212,"232","23","526",4954
"15",2020-03-20,"168","3","18","377","184","272","109",994,"18","159","29","92","159","28","17","98","14","46","39","49","834","7",1432,"282","48","773",6249
"16",2020-03-21,"175","3","22","377","282","299","136",1048,"21","213","49","92","177","33","19","137","17","58","56","56","918","12",1448,"359","41","858",6828
"17",2020-03-22,"195","3","23","427","269","317","138",1191,"23","218","46","103","192","36","21","138","18","61","56","61","988","12",1670,"374","47","922",7484
"18",2020-03-23,"219","3","26","479","306","347","154",1328,"26","243","51","114","213","40","23","156","21","68","63","69","1100","14",1866,"428","54","1041",8377
"19",2020-03-24,"243","3","29","531","343","377","170",1465,"29","268","57","126","235","45","25","174","24","76","70","77","1212","16",2062,"481","60","1160",9270
